seg_id	poem_id	average_all_annotators	sen_score	dictionary		
1	1	-0.3	14.2857	nativeODM_sentiment		
4	4	-0.8933	0	nativeODM_sentiment		
7	6	-0.14	3.57143	nativeODM_sentiment		
9	8	-0.735	0	nativeODM_sentiment		
12	11	-0.15	0	nativeODM_sentiment		
22	21	-0.1867	-12.5	nativeODM_sentiment		
23	22	-0.76	9.09091	nativeODM_sentiment		
24	23	-0.8114	-10	nativeODM_sentiment		
26	25	-1.0	0	nativeODM_sentiment		
27	26	-0.675	0	nativeODM_sentiment		
30	29	-0.0476	18.75	nativeODM_sentiment		
32	31	-0.3071	-13.3333	nativeODM_sentiment		
33	32	-0.8643	-5.55556	nativeODM_sentiment		
34	33	-0.5257	-5.26316	nativeODM_sentiment		
37	36	-0.76	4.54545	nativeODM_sentiment		
39	38	-0.8889	0	nativeODM_sentiment		
40	39	-0.5976	-3.84615	nativeODM_sentiment		
44	43	-0.4167	3.22581	nativeODM_sentiment		
48	47	-0.5321	-9.52381	nativeODM_sentiment		
53	52	-0.3217	1.92308	nativeODM_sentiment		
57	56	-0.52	-4.34783	nativeODM_sentiment		
63	62	-0.2	-5.55556	nativeODM_sentiment		
64	63	-0.7467	0	nativeODM_sentiment		
89	88	-0.581	0	nativeODM_sentiment		
91	90	-0.85	-7.14286	nativeODM_sentiment		
92	91	-0.7	0	nativeODM_sentiment		
96	95	-0.7667	-5.88235	nativeODM_sentiment		
100	99	-0.9181	0	nativeODM_sentiment		
104	103	-0.23	-9.09091	nativeODM_sentiment		
108	484	-0.5857	0	nativeODM_sentiment		
111	109	-0.2	0	nativeODM_sentiment		
112	110	-0.66	-11.1111	nativeODM_sentiment		
113	111	-0.1689	-1.78571	nativeODM_sentiment		
114	112	-0.4444	0	nativeODM_sentiment		
115	113	-0.7362	-14.2857	nativeODM_sentiment		
116	114	-0.7076	0	nativeODM_sentiment		
118	116	-0.3905	7.69231	nativeODM_sentiment		
119	117	-0.64	7.69231	nativeODM_sentiment		
122	119	-0.3057	0	nativeODM_sentiment		
123	120	-0.7529	-10.5263	nativeODM_sentiment		
124	121	-0.8429	0	nativeODM_sentiment		
137	132	-0.72	0	nativeODM_sentiment		
141	136	-0.46	4.34783	nativeODM_sentiment		
142	137	-0.4378	-4.7619	nativeODM_sentiment		
150	145	-0.9464	0	nativeODM_sentiment		
153	148	-0.72	0	nativeODM_sentiment		
157	152	-0.7	4	nativeODM_sentiment		
158	153	-0.0167	-7.14286	nativeODM_sentiment		
161	156	-0.7067	0	nativeODM_sentiment		
167	162	-0.18	-10.3448	nativeODM_sentiment		
169	164	-0.0986	5.26316	nativeODM_sentiment		
171	166	-0.1995	0	nativeODM_sentiment		
173	168	-0.81	4.7619	nativeODM_sentiment		
174	169	-0.6611	5.88235	nativeODM_sentiment		
175	170	-0.6311	0	nativeODM_sentiment		
180	171	-0.6243	1.47059	nativeODM_sentiment		
182	172	-0.5917	-3.0303	nativeODM_sentiment		
187	172	-0.5754	-5.26316	nativeODM_sentiment		
188	173	-0.5533	0	nativeODM_sentiment		
193	174	-0.3454	-6.45161	nativeODM_sentiment		
199	176	-0.4714	-1.81818	nativeODM_sentiment		
202	177	-0.4333	0	nativeODM_sentiment		
203	178	-0.26	8	nativeODM_sentiment		
207	180	-0.8356	-10.8108	nativeODM_sentiment		
210	182	-0.9333	0	nativeODM_sentiment		
214	184	-0.195	0	nativeODM_sentiment		
217	185	-0.1333	5.55556	nativeODM_sentiment		
218	186	-0.95	4.91803	nativeODM_sentiment		
219	186	-0.6783	4	nativeODM_sentiment		
222	187	-0.5625	-2.12766	nativeODM_sentiment		
232	191	-0.6783	-10	nativeODM_sentiment		
235	194	-0.5314	1.6129	nativeODM_sentiment		
240	198	-0.925	5.26316	nativeODM_sentiment		
241	199	-0.74	-9.52381	nativeODM_sentiment		
247	203	-0.8044	-2.22222	nativeODM_sentiment		
248	204	-0.2229	0	nativeODM_sentiment		
254	210	-0.5417	1.96078	nativeODM_sentiment		
255	210	-0.075	8.33333	nativeODM_sentiment		
259	214	-0.0333	0	nativeODM_sentiment		
269	221	-0.0528	13.3333	nativeODM_sentiment		
271	223	-0.2762	0	nativeODM_sentiment		
273	225	-0.525	0	nativeODM_sentiment		
274	226	-0.1107	17.6471	nativeODM_sentiment		
276	227	-0.2267	-8	nativeODM_sentiment		
285	234	-0.12	-11.7647	nativeODM_sentiment		
290	238	-0.5167	-7.69231	nativeODM_sentiment		
293	241	-0.285	0	nativeODM_sentiment		
305	251	-0.3267	-5.88235	nativeODM_sentiment		
307	253	-0.7684	4.08163	nativeODM_sentiment		
309	255	-0.039	2.32558	nativeODM_sentiment		
312	257	-0.375	0	nativeODM_sentiment		
318	263	-0.6	-11.1111	nativeODM_sentiment		
321	266	-0.5486	0	nativeODM_sentiment		
330	274	-0.82	0	nativeODM_sentiment		
332	275	-0.6833	3.7037	nativeODM_sentiment		
345	284	-0.71	-9.09091	nativeODM_sentiment		
349	287	-0.7667	8.69565	nativeODM_sentiment		
355	291	-0.7767	0	nativeODM_sentiment		
362	292	-0.96	-25	nativeODM_sentiment		
